"source","translation","context"
"API Key (CerteCF)","API Key (CerteCF)",""
"API Key (Production)","API Key (Producción)",""
"API Key (TesteCF)","API Key (TesteCF)",""
"API Keys","API Keys",""
"Base URL","URL Base",""
"Company","Compañía",""
"Current","Actual",""
"Custom Gateway Login","Inicio de Sesión Personalizado del Gateway",""
"Custom credentials require both gateway email and password.","Las credenciales personalizadas requieren email y contraseña del gateway.",""
"ECF Document Log","Registro de Documentos e-CF",""
"ECF Gateway Account","Cuenta de Gateway e-CF",""
"ECF Provider Settings","Configuración de Proveedor e-CF",""
"ECF Sequence Range","Rango de Secuencias e-CF",""
"e-CF Documents","Documentos e-CF",""
"e-CF Sequence Ranges","Rangos de Secuencias e-CF",""
"Provider Settings","Configuración de proveedores",""
"Gateway Account","Cuenta del gateway",""
"Enabled","Habilitado",""
"Environment","Ambiente",""
"Error","Error",""
"Expiry Date","Fecha de Vencimiento",""
"Gateway Email","Email del Gateway",""
"Gateway Password","Contraseña del Gateway",""
"Gateway Reference","Referencia del Proveedor",""
"Internal Track ID","ID de Seguimiento Interno",""
"No API Key configured for company {0} in environment {1}.","No hay API Key configurado para la compañía {0} en el ambiente {1}.",""
"No ECF Provider Settings for company {0}.","No hay Configuración de Proveedor e-CF para la compañía {0}.",""
"No active eNCF sequence range for company {0}, environment {1}, e-CF type {2}.","No hay rango de secuencias eNCF activo para la compañía {0}, ambiente {1}, tipo e-CF {2}.",""
"No e-CF found for the referenced invoice {0}.","No se encontró e-CF para la factura referenciada {0}.",""
"No e-CF log for {0}","No hay registro e-CF para {0}",""
"No e-CF provider settings for company {0}","No hay configuración de proveedor e-CF para la compañía {0}",""
"No gateway login available: configure ECF Gateway Account (platform) or enable custom credentials for this company.","No hay inicio de sesión de gateway disponible: configure la Cuenta de Gateway e-CF (plataforma) o habilite credenciales personalizadas para esta compañía.",""
"Payloads","Cargas Enviadas",""
"Provider Type","Tipo de Proveedor",""
"QR URL","URL del QR",""
"Range overlaps active range {0} for company/environment/type.","El rango se solapa con el rango activo {0} para la compañía/ambiente/tipo.",""
"Request JSON","JSON de Solicitud",""
"Response JSON","JSON de Respuesta",""
"Sales Invoice","Factura de Venta",""
"Security Code","Código de Seguridad",""
"Sequence From","Secuencia Desde",""
"Sequence From must be <= Sequence To.","Secuencia Desde debe ser <= Secuencia Hasta.",""
"Sequence To","Secuencia Hasta",""
"Signed Date","Fecha de Firma",""
"Status","Estado",""
"The API Key for environment {0} is required before enabling.","Se requiere el API Key del ambiente {0} antes de habilitar.",""
"This invoice has e-CF {0} issued or in progress with DGII. Issue an electronic credit note (type 34) instead of cancelling it.","Esta factura tiene el e-CF {0} emitido o en proceso ante la DGII. Emita una nota de crédito electrónica (tipo 34) en lugar de cancelarla.",""
"Unknown e-CF provider type: {0}","Tipo de proveedor e-CF desconocido: {0}",""
"Use Custom Credentials","Usar Credenciales Personalizadas",""
"e-CF Type","Tipo de e-CF",""
"e-CF applies only to Dominican Republic companies (got {0}).","e-CF aplica solo a compañías de República Dominicana (se recibió {0}).",""
"e-CF provider not enabled for company {0}","El proveedor e-CF no está habilitado para la compañía {0}",""
"e-CF {0} rejected by DGII","e-CF {0} rechazado por la DGII",""
"eNCF","eNCF",""
"DGII Electronic Fiscal Receipt","Comprobante Fiscal Electrónico DGII",""
"e-NCF","e-NCF",""
"DGII verification QR code","Código QR de verificación DGII",""
"Electronic Fiscal Invoice","Factura Fiscal Electrónica",""
"Gateway Status","Estado del Proveedor",""
"No electronic fiscal receipt has been generated for this invoice.","No se ha generado un comprobante fiscal electrónico para esta factura.",""
"Draft preview","Vista previa del borrador",""
"The e-CF and its fiscal identifiers will be generated when this invoice is submitted.","El e-CF y sus identificadores fiscales se generarán al someter esta factura.",""
"Electronic fiscal receipt missing","Falta el comprobante fiscal electrónico",""
"This submitted invoice has no e-CF and must not be delivered as a fiscal receipt. Configure electronic invoicing and regularize the invoice before issuing it to the customer.","Esta factura sometida no tiene e-CF y no debe entregarse como comprobante fiscal. Configure la facturación electrónica y regularice la factura antes de emitirla al cliente.",""
"Electronic fiscal receipt rejected","Comprobante fiscal electrónico rechazado",""
"This e-CF was rejected or failed fiscal validation and is not valid for fiscal purposes.","Este e-CF fue rechazado o no superó la validación fiscal y no es válido para fines fiscales.",""
"Electronic fiscal receipt pending","Comprobante fiscal electrónico pendiente",""
"The e-CF was generated, but its transmission or DGII validation is still pending. Verify its final status before using it for fiscal purposes.","El e-CF fue generado, pero su transmisión o validación por la DGII sigue pendiente. Verifique su estado final antes de utilizarlo para fines fiscales.",""
"Draft — not a fiscal document.","Borrador: no es un documento fiscal.",""
"This document is not an e-CF printed representation and is not valid for fiscal purposes.","Este documento no es una representación impresa de e-CF y no es válido para fines fiscales.",""
"Return to the Sales Invoice and submit it; Refresh only updates this preview.","Regrese a la factura de venta y sométala; Actualizar solo refresca esta vista previa.",""
"Billed Unit","Unidad facturada",""
"e-CF Status","Estado e-CF",""
"This e-CF was rejected and is not valid for fiscal purposes.","Este e-CF fue rechazado y no es válido para fines fiscales.",""
"RNC/Cedula","RNC/Cédula",""
"Scan the QR code to verify this electronic fiscal receipt with DGII.","Escanee el código QR para verificar este comprobante fiscal electrónico con la DGII.",""
"Customer Legal Name","Razón Social Cliente",""
"Customer RNC","RNC Cliente",""
"Digital Signature Date","Fecha de Firma Digital",""
"Electronic Consumer Invoice","Factura de Consumo Electrónica",""
"Electronic Credit Note","Nota de Crédito Electrónica",""
"Electronic Debit Note","Nota de Débito Electrónica",""
"Electronic Fiscal Credit Invoice","Factura de Crédito Fiscal Electrónica",""
"Electronic Foreign Payments Invoice","Comprobante Electrónico para Pagos al Exterior",""
"Electronic Government Invoice","Comprobante Electrónico Gubernamental",""
"Electronic Minor Expenses Invoice","Comprobante Electrónico para Gastos Menores",""
"Electronic Purchases Invoice","Comprobante Electrónico de Compras",""
"Electronic Special Regimes Invoice","Comprobante Electrónico para Regímenes Especiales",""
"Electronic Export Invoice","Comprobante Electrónico para Exportaciones",""
"Exempt Subtotal","Subtotal Exento",""
"Issue Date","Fecha de Emisión",""
"Modified NCF","NCF Modificado",""
"Payment Due Date","Fecha Límite de Pago",""
"Sequence Expiry Date","Fecha de Vencimiento",""
"Taxable Subtotal","Subtotal Gravado",""
"This document is not valid for fiscal purposes.","Este documento no es válido para fines fiscales.",""
"Temporary DGII validation error","Error temporal de validación de la DGII",""
"DGII could not complete validation. The accounting invoice remains submitted, but this e-CF is not fiscally valid yet. Do not create another invoice or eNCF; wait a few minutes, refresh its status, and retry delivery if the error persists.","La DGII no pudo completar la validación. La factura contable permanece sometida, pero este e-CF todavía no es válido fiscalmente. No cree otra factura ni otro eNCF; espere unos minutos, actualice el estado y reintente la entrega si el error persiste.",""
"DGII temporary validation error (code 004). Retry later.","Error temporal de validación de la DGII (código 004). Reintente más tarde.",""
"DGII response","Respuesta de la DGII",""
"Total ITBIS","Total ITBIS",""
"Unit of Measure","Unidad de Medida",""
"Value","Valor",""
"Electronic invoicing is not ready","La facturación electrónica no está lista",""
"This invoice cannot be submitted for e-CF. Correct the following fields:","Esta factura no puede someterse para e-CF. Corrija los siguientes campos:",""
"Fiscal Data","Datos fiscales",""
"Electronic Invoicing","Facturación electrónica",""
"RNC/Tax ID","RNC/Identificación fiscal",""
"Fiscal Address","Dirección fiscal",""
"ECF Provider","Proveedor e-CF",""
"API Key","Clave API",""
"Gateway Login","Acceso al proveedor",""
"A Dominican issuer tax ID must contain 9 or 11 digits.","La identificación fiscal de un emisor dominicano debe contener 9 u 11 dígitos.",""
"No linked fiscal address was found for the company.","No se encontró una dirección fiscal vinculada a la compañía.",""
"Electronic invoicing has not been configured for this company.","La facturación electrónica no se ha configurado para esta compañía.",""
"Electronic invoicing is disabled for this company.","La facturación electrónica está deshabilitada para esta compañía.",""
"No usable gateway login is configured.","No hay un acceso utilizable configurado para el proveedor.",""
"Retry e-CF","Reintentar e-CF",""
"Queueing e-CF generation...","Encolando la generación del e-CF...",""
"e-CF generation was queued.","La generación del e-CF fue encolada.",""
"Only submitted invoices can be sent as e-CF.","Solo las facturas sometidas pueden enviarse como e-CF.",""
"Requires Fiscal Credit Receipt","Requiere comprobante con valor fiscal",""
"A fiscal credit receipt requires a buyer RNC or ID with 9 or 11 digits.","Un comprobante con valor fiscal requiere un RNC o cédula del comprador de 9 u 11 dígitos.",""
"Direction","Dirección",""
"Issued","Emitido",""
"Received","Recibido",""
"Referenced Document","Documento referenciado",""
"Reference DocType","Tipo de documento de referencia",""
"Reference Document","Documento de referencia",""
"Modified e-CF Document","Documento e-CF modificado",""
"Tax Identification","Identificación fiscal",""
"Issuer Tax ID","Identificación fiscal del emisor",""
"Receiver Tax ID","Identificación fiscal del receptor",""
"Referenced document {0} {1} does not exist.","El documento referenciado {0} {1} no existe.",""
"The referenced document belongs to company {0}, not {1}.","El documento referenciado pertenece a la compañía {0}, no a {1}.",""
"An e-CF document cannot modify itself.","Un documento e-CF no puede modificarse a sí mismo.",""
"The modified e-CF document must belong to the same company.","El documento e-CF modificado debe pertenecer a la misma compañía.",""
"Issuer Tax ID is required for a received e-CF.","La identificación fiscal del emisor es obligatoria para un e-CF recibido.",""
"e-NCF {0} is already registered for issuer {1}.","El e-NCF {0} ya está registrado para el emisor {1}.",""
"A debit/credit note e-CF must reference the original invoice (Return Against is not set).","Un e-CF de nota de débito/crédito debe referenciar la factura original (no se ha indicado Factura de referencia).",""
"The original e-CF request payload is immutable.","El contenido fiscal original del e-CF no puede modificarse.",""
"Open e-CF Log","Abrir registro e-CF",""
"Refresh e-CF Status","Actualizar estado e-CF",""
"Checking MSeller status...","Consultando el estado en MSeller...",""
"e-CF status refreshed.","El estado del e-CF fue actualizado.",""
"Retry e-CF Delivery","Reintentar entrega e-CF",""
"Reconciling e-CF before retry...","Verificando el e-CF antes de reintentar...",""
"e-CF retry was queued safely.","El reintento seguro del e-CF fue encolado.",""
"Open Sales Invoice","Abrir factura de venta",""
"This e-CF is blocked and requires an operator action. Review the provider response before retrying.","Este e-CF está bloqueado y requiere una acción. Revise la respuesta del proveedor antes de reintentar.",""
"Delivery is being reconciled automatically. Do not create another fiscal document.","La entrega se está conciliando automáticamente. No cree otro comprobante fiscal.",""
"e-CF {0} requires action: {1}","El e-CF {0} requiere atención: {1}",""
"e-CF {0} is stalled: {1}","El e-CF {0} está estancado: {1}",""
"Electronic invoicing provider is temporarily unavailable for {0}.","El proveedor de facturación electrónica no está disponible temporalmente para {0}.",""
"Cause/provider response","Causa/respuesta del proveedor",""
"Open the linked invoice and its e-CF log before retrying.","Abra la factura vinculada y su registro e-CF antes de reintentar.",""
"No provider detail","Sin detalle del proveedor",""
"Reason","Motivo",""
"Electronic invoicing alert","Alerta de facturación electrónica",""
"Remote rejection","Rechazo remoto",""
"Provider response","Respuesta del proveedor",""
"Previous status","Estado anterior",""
"Current status","Estado actual",""
"e-CF {0} delivery recovered","La entrega del e-CF {0} se recuperó",""
"Automatic e-CF delivery is paused temporarily. Persisted documents will be reconciled after provider recovery.","La entrega automática de e-CF está pausada temporalmente. Los documentos persistidos se conciliarán cuando el proveedor se recupere.",""
"View Delivery Timeline","Ver historial de entrega",""
"Action Required","Acción requerida",""
"Warning","Advertencia",""
"View Action Required e-CFs","Ver e-CF que requieren acción",""
"Provider calls are paused until {0}. Persisted e-CFs remain safe and will be reconciled automatically.","Las llamadas al proveedor están pausadas hasta {0}. Los e-CF persistidos permanecen seguros y se conciliarán automáticamente.",""
"the recovery probe","la prueba de recuperación",""
"A provider recovery probe is in progress.","Hay una prueba de recuperación del proveedor en curso.",""
"Provider connection is healthy. Last success: {0}","La conexión con el proveedor está saludable. Último éxito: {0}",""
"ECF delivery events can only be created by the delivery service.","Los eventos de entrega e-CF solo pueden ser creados por el servicio de entrega.",""
"The ECF delivery event integrity hash is invalid.","El hash de integridad del evento de entrega e-CF no es válido.",""
"ECF delivery events are append-only and cannot be changed.","Los eventos de entrega e-CF son de solo anexado y no pueden modificarse.",""
"ECF delivery events are append-only and cannot be deleted.","Los eventos de entrega e-CF son de solo anexado y no pueden eliminarse.",""
"This fiscal delivery log has an audit history and cannot be deleted. Use the retention workflow instead.","Este registro de entrega fiscal tiene historial de auditoría y no puede eliminarse. Use el flujo de retención.",""
